Country,Solar,Wind_Offshore,Wind_Onshore,Nuclear,Battery_Inverter_MW,Battery_Storage_MWh,Coal,CCGT,OCGT,Run_of_River,Pondage_MW,Pondage_GWh,Reservoir_MW,Reservoir_GWh,PS_Open_Output_MW,PS_Open_Input_MW,PS_Open_GWh,PS_Closed_Output_MW,PS_Closed_Input_MW,PS_Closed_GWh
AL,600.0,0.0,280.0,0.0,0.0,0.0,0.0,300.0,0.0,603.7,0.0,0.0,2031.7,1721.7,0.0,-0.0,0.0,0.0,0.0,0.0
AT,12000.3,0.0,9000.0,0.0,67.8,101.6,0.0,2811.1,68.4,5228.6,1149.3,5.3,2787.1,769.0,5607.5,5532.9,1746.7,450.0,450.0,3.6
BA,454.8,0.0,786.6,0.0,0.0,0.0,1748.0,0.0,0.0,40.8,108.6,1.3,1906.0,1795.9,440.0,440.0,3.4,0.0,0.0,0.0
BE,13610.0,5760.0,5248.0,2077.0,594.4,2046.3,354.4,3507.1,244.0,148.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1305.0,1305.0,11.6
BG,3458.2,0.0,948.0,2000.0,1600.0,6000.0,2504.0,1088.0,20.0,535.5,0.0,0.0,1281.3,842.9,535.0,148.0,36.6,864.0,864.0,0.0
CH,9770.3,0.0,310.0,1190.0,1221.3,610.6,0.0,0.0,0.0,4215.0,0.0,0.0,8530.0,7912.0,2460.0,1890.0,1194.0,1900.0,1900.0,56.0
CY,852.0,0.0,197.5,0.0,0.0,0.0,0.0,859.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
CZ,11405.7,0.0,958.3,4047.2,637.3,842.0,4790.8,2356.4,131.1,431.6,0.0,0.0,517.5,1.9,653.6,599.0,2.9,688.0,688.0,3.7
DE,215002.0,30521.3,115000.7,0.0,3200.4,6400.8,0.0,22245.9,2399.1,3933.9,0.0,0.0,819.0,237.2,2144.1,1861.0,438.2,7009.8,7009.8,276.0
DK,17744.4,8250.6,7305.6,0.0,160.0,2000.0,1943.6,159.3,877.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
EE,1160.0,0.0,861.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
ES,64848.1,2800.0,48317.5,5100.4,2500.0,5000.0,0.0,20517.6,0.0,3424.7,0.0,0.0,11414.2,14774.4,4223.3,3964.0,5763.9,5828.0,5828.0,101.0
FI,10695.2,1000.0,25992.5,4394.0,1000.0,2000.0,1196.0,919.0,125.0,0.0,0.0,0.0,3236.6,5530.0,0.0,-0.0,0.0,0.0,0.0,0.0
FR,42282.2,3875.0,31300.0,61761.0,470.0,940.0,0.0,6553.0,636.0,13600.0,0.0,0.0,9847.0,10000.0,1850.0,1850.0,90.0,1950.0,1950.0,10.0
GR,13863.0,2700.0,7100.0,0.0,5600.0,16800.0,0.0,7539.6,147.8,361.0,22.0,1.0,2743.7,4044.0,699.0,735.0,4.5,680.0,680.0,3.5
HR,720.2,510.0,1442.0,0.0,70.0,498.0,290.0,747.0,0.0,63.1,320.9,4.0,1948.1,2045.9,281.4,246.9,18.3,0.0,0.0,0.0
HU,9917.7,0.0,334.3,3097.0,380.2,1064.4,102.1,3445.4,268.0,64.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
IE,7987.0,5025.2,8952.8,0.0,2250.0,12287.0,185.1,5702.4,116.0,215.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,592.0,592.0,3.5
IT,74600.5,8500.0,18410.8,0.0,14908.6,94765.4,0.0,38628.3,4319.7,7028.6,0.0,0.0,8814.7,5568.0,3617.9,2142.0,289.0,4170.2,4170.2,61.2
LT,5000.3,1400.0,5000.0,0.0,1200.0,2200.0,0.0,913.0,0.0,126.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,938.0,938.0,10.6
LU,608.5,0.0,400.0,0.0,25.0,25.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
LV,146.0,500.0,237.0,0.0,80.0,160.0,0.0,1077.0,0.0,0.0,1592.0,16.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
ME,31.5,0.0,254.2,0.0,0.0,0.0,450.0,0.0,0.0,78.9,0.0,0.0,1058.4,582.4,0.0,-0.0,0.0,0.0,0.0,0.0
MK,630.0,0.0,410.0,0.0,0.0,0.0,0.0,699.5,0.0,230.5,0.0,0.0,728.6,628.3,0.0,-0.0,0.0,0.0,0.0,0.0
MT,281.6,0.0,0.0,0.0,0.0,0.0,0.0,477.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
NL,59317.1,16542.5,9100.0,486.0,9331.0,26397.2,0.0,9619.5,479.0,37.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
NO,4000.0,3003.5,5773.2,0.0,0.0,0.0,0.0,0.0,0.0,7467.9,0.0,0.0,27649.9,65924.0,709.3,759.8,14565.3,0.0,0.0,0.0
PL,21663.4,10004.0,13767.8,0.0,0.0,0.0,18827.2,9620.7,0.0,367.1,0.0,0.0,360.7,1.4,283.0,84.0,0.6,1333.4,1333.4,6.4
